date,pair,target,prediction
2015-05-25,Kenya Airways Plc_Car and General (K) Ltd,2.271354730368655,2.2435836399747813
2015-05-26,Kenya Airways Plc_Car and General (K) Ltd,2.271354730368655,2.2516682824486596
2015-05-27,Kenya Airways Plc_Car and General (K) Ltd,2.278372303027301,2.2492285841015716
2015-05-28,Kenya Airways Plc_Car and General (K) Ltd,2.2559181244687525,2.2513564620239115
2015-05-29,Kenya Airways Plc_Car and General (K) Ltd,2.2559181244687525,2.252267664444807
2015-06-02,Kenya Airways Plc_Car and General (K) Ltd,2.2488006566998884,2.2536531756396885
2015-06-03,Kenya Airways Plc_Car and General (K) Ltd,2.2488006566998884,2.2476698985519388
2015-06-04,Kenya Airways Plc_Car and General (K) Ltd,2.2488006566998884,2.246139201212781
2015-06-05,Kenya Airways Plc_Car and General (K) Ltd,2.234411919247789,2.2472561808976397
2015-06-08,Kenya Airways Plc_Car and General (K) Ltd,2.1746926845461667,2.244064059860501
2015-06-09,Kenya Airways Plc_Car and General (K) Ltd,2.143440141042062,2.244940163077815
2015-06-10,Kenya Airways Plc_Car and General (K) Ltd,2.119342589463002,2.2495851524305395
2015-06-11,Kenya Airways Plc_Car and General (K) Ltd,2.0946499768726303,2.254544737948684
2015-06-12,Kenya Airways Plc_Car and General (K) Ltd,2.149862645643403,2.260075488035103
2015-06-15,Kenya Airways Plc_Car and General (K) Ltd,2.2183304449208636,2.266360004622497
2015-05-25,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.0116405186694477,1.9670379309892445
2015-05-26,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.0116405186694477,1.954330066242457
2015-05-27,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.0084094980880014,1.944166484302783
2015-05-28,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.0215233439457845,1.9442437054652117
2015-05-29,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.0215233439457845,1.9475036057013986
2015-06-02,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.0215233439457845,1.9475036057013986
2015-06-03,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.0182606983109683,1.948215122337766
2015-06-04,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.0182606983109683,1.9463505165625152
2015-06-05,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.0215233439457845,1.9479615230065535
2015-06-08,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.0182606983109683,1.9479615230065535
2015-06-09,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.0215233439457845,1.9628286722367856
2015-06-10,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.0215233439457845,1.9693495935615144
2015-06-11,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.0215233439457845,1.9693495935615144
2015-06-12,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.021734212396292,1.9873335173882802
2015-06-15,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.024996858031108,2.0006456429241393
2015-05-25,Bamburi Cement Ltd_KCB Group Plc,1.3244530094986948,1.3319187561047316
2015-05-26,Bamburi Cement Ltd_KCB Group Plc,1.3530154260977958,1.3313803428927935
2015-05-27,Bamburi Cement Ltd_KCB Group Plc,1.3566809714506785,1.330714203428287
2015-05-28,Bamburi Cement Ltd_KCB Group Plc,1.3782686458735545,1.3325386864495732
2015-05-29,Bamburi Cement Ltd_KCB Group Plc,1.3625598847030473,1.353772372964193
2015-06-02,Bamburi Cement Ltd_KCB Group Plc,1.3471219777795493,1.3462958951759398
2015-06-03,Bamburi Cement Ltd_KCB Group Plc,1.3319457429322101,1.3392820271004007
2015-06-04,Bamburi Cement Ltd_KCB Group Plc,1.3395017069310726,1.331693647427205
2015-06-05,Bamburi Cement Ltd_KCB Group Plc,1.3402960127091497,1.3326088664253724
2015-06-08,Bamburi Cement Ltd_KCB Group Plc,1.3471219777795493,1.3328627554669357
2015-06-09,Bamburi Cement Ltd_KCB Group Plc,1.3606356969462725,1.4010450308943974
2015-06-10,Bamburi Cement Ltd_KCB Group Plc,1.3750103667955753,1.3717305692358985
2015-06-11,Bamburi Cement Ltd_KCB Group Plc,1.3750103667955753,1.3846798256081547
2015-06-12,Bamburi Cement Ltd_KCB Group Plc,1.3827625920205668,1.4162307850634677
2015-06-15,Bamburi Cement Ltd_KCB Group Plc,1.3905825231263598,1.4196890132735844
2015-06-16,Kenya Airways Plc_Car and General (K) Ltd,2.247317981794116,2.175941408891843
2015-06-17,Kenya Airways Plc_Car and General (K) Ltd,2.2458077633700086,2.178614403888308
2015-06-18,Kenya Airways Plc_Car and General (K) Ltd,2.246387777440718,2.18172023919449
2015-06-19,Kenya Airways Plc_Car and General (K) Ltd,2.194715766896397,2.184296049610066
2015-06-22,Kenya Airways Plc_Car and General (K) Ltd,2.2241462665888294,2.1836631643025597
2015-06-23,Kenya Airways Plc_Car and General (K) Ltd,2.2188276804402003,2.181900085905277
2015-06-24,Kenya Airways Plc_Car and General (K) Ltd,2.2097536442609376,2.1762401209701094
2015-06-25,Kenya Airways Plc_Car and General (K) Ltd,2.231894770138151,2.178034929223557
2015-06-26,Kenya Airways Plc_Car and General (K) Ltd,2.2886475867306006,2.178034929223557
2015-06-29,Kenya Airways Plc_Car and General (K) Ltd,2.3023464310887625,2.1937585281974723
